Sample	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
Bract	31962601	1.61052	0.7359	 0.080917	  0.1591	N
Corolla	10733860	1.03782	0.7537	 0.103240	  0.5759	N
Leaves	 5034525	1.98027	0.6577	-0.016843	 -1.6661	N
Ligule	26674763	1.84358	0.7421	 0.088686	  0.3042	N
Ovary	 3018339	1.07710	0.7442	 0.091343	  0.3538	N
Pollen	38413627	0.04253	0.2410	-0.537635	-11.3894	Y
Seed	23009481	1.36875	0.6844	 0.016624	 -1.0412	N
Stamen	 8879457	0.98059	0.6679	-0.004004	 -1.4264	N
Stem	19890832	2.19889	0.7222	 0.063871	 -0.1591	N
Style	26149938	1.21206	0.7622	 0.113801	  0.7731	N
