Bract	Corolla	Leaves	Ligule	Ovary	Pollen	Seed	Stamen	Stem	Style
Bract	1.0000	0.8531	0.7741	0.8480	0.7928	0.1844	0.7662	0.6652	0.9020	0.8371
Corolla	0.8531	1.0000	0.7569	0.8797	0.8794	0.2253	0.7408	0.7423	0.8040	0.9021
Leaves	0.7741	0.7569	1.0000	0.8231	0.7131	0.1403	0.6749	0.5464	0.7764	0.7137
Ligule	0.8480	0.8797	0.8231	1.0000	0.8243	0.1901	0.7505	0.6629	0.8476	0.8525
Ovary	0.7928	0.8794	0.7131	0.8243	1.0000	0.2405	0.8391	0.7544	0.7721	0.8821
Pollen	0.1844	0.2253	0.1403	0.1901	0.2405	1.0000	0.1947	0.5131	0.1796	0.3011
Seed	0.7662	0.7408	0.6749	0.7505	0.8391	0.1947	1.0000	0.6633	0.7525	0.7779
Stamen	0.6652	0.7423	0.5464	0.6629	0.7544	0.5131	0.6633	1.0000	0.6682	0.7957
Stem	0.9020	0.8040	0.7764	0.8476	0.7721	0.1796	0.7525	0.6682	1.0000	0.7975
Style	0.8371	0.9021	0.7137	0.8525	0.8821	0.3011	0.7779	0.7957	0.7975	1.0000
