Sample	subject_id	histological_type	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
Bract	XRQ	Bract	84479546	61.22	21.16	17.62	51719590	61.83	0.3	37.86	120709859	80.19	0	0	2.65	17.16	31962601	1.61052	0.7359	0.080917	0.1591	N
Corolla	XRQ	Corolla	54935991	36.68	46.68	16.64	20152571	53.27	0.1	46.63	49934588	61.91	0	0	11.59	26.49	10733860	1.03782	0.7537	0.10324	0.5759	N
Leaves	XRQ	Leaves	12754318	60.03	19.74	20.23	7656531	65.9	0.89	33.21	20522748	81.93	0	0	2.78	15.28	5034525	1.98027	0.6577	-0.016843	-1.6661	N
Ligule	XRQ	Ligule	66249666	63.16	21.11	15.73	41844505	63.78	0.1	36.12	95045641	80.94	0	0	3.02	16.04	26674763	1.84358	0.7421	0.088686	0.3042	N
Ovary	XRQ	Ovary	15550631	38.18	35.45	26.37	5937004	50.86	0.1	49.04	13479692	64.39	0	0	11.02	24.59	3018339	1.0771	0.7442	0.091343	0.3538	N
Pollen	XRQ	Pollen	91140915	63.5	22.86	13.64	57873312	66.55	0.05	33.39	150521648	79.81	0	0	1.16	19.03	38413627	0.04253	0.241	-0.537635	-11.3894	Y
Seed	XRQ	Seed	70593018	59.37	17.96	22.67	41910323	55.31	0.17	44.52	84484601	79.54	0	0	2.91	17.55	23009481	1.36875	0.6844	0.016624	-1.0412	N
Stamen	XRQ	Stamen	69114572	33.82	47.9	18.28	23374803	38.22	0.05	61.73	52115175	51.23	0	0	14.95	33.82	8879457	0.98059	0.6679	-0.004004	-1.4264	N
Stem	XRQ	Stem	55244513	59.5	21.07	19.43	32870306	60.55	0.18	39.27	74873295	78.36	0	0	3.04	18.6	19890832	2.19889	0.7222	0.063871	-0.1591	N
Style	XRQ	Style	77653227	60.51	23.1	16.39	46985441	55.7	0.17	44.14	99967932	74.74	0	0	3.6	21.66	26149938	1.21206	0.7622	0.113801	0.7731	N
