Pair	Bract	Corolla	Leaves	Ligule	Ovary	Pollen	Seed	Stamen	Stem	Style
Bract	100	83.72	84.39	87.49	85.37	70.12	87.92	82.91	90.05	86.15
Corolla	86.85	100	80.24	87.4	82.56	71.92	87.29	83.33	87.58	87.63
Leaves	90.13	84.85	100	91.06	86.11	66.22	90.93	84.05	90.94	89.61
Ligule	86.88	83.18	84.54	100	84.29	67.51	88.33	82.35	88.69	86.54
Ovary	89.35	85.95	83.55	88.99	100	69.27	89.5	82.89	87.66	90.04
Pollen	77.29	71.84	76.21	78.36	76.5	100	79.93	80.78	78.67	79.25
Seed	88.68	88.02	90.05	89.45	91.7	79.01	100	89.39	90.15	88.31
Stamen	85.46	84.38	82.71	86.21	79.81	79.06	88.12	100	85.98	85.38
Stem	89.91	83.54	86.31	89.46	83.12	69.2	89.39	82.45	100	86.11
Style	86.95	84.12	84.19	88	84.37	71.96	88.6	82.34	88.11	100
