gene	gene_name	gene_type	chr	start	end	strand	length	Bract	Corolla	Leaves	Ligule	Ovary	Pollen	Seed	Stamen	Stem	Style
Ha1_00043026	Ha1_00043026	protein_coding	Ha1	140141	141848	+	879	11427	2333	473	1420	633	25	334	47	974	4022
Ha1_00043027	Ha1_00043027	protein_coding	Ha1	143273	145476	-	547	275	5	665	41	12	0	65	0	1	127
Ha1_00043029	Ha1_00043029	protein_coding	Ha1	470935	474705	+	3681	184	181	148	701	66	1	841	54	194	282
Ha1_00043030	Ha1_00043030	protein_coding	Ha1	485813	488169	-	763	932	40	212	1030	5	3	86	39	369	53
Ha1_00043032	Ha1_00043032	protein_coding	Ha1	521041	522819	+	510	10	3	3	16	0	34	17	6	17	9
Ha1_00043033	Ha1_00043033	protein_coding	Ha1	535046	542208	+	654	10	3	4	65	2	0	88	1	104	6
Ha1_00043034	Ha1_00043034	protein_coding	Ha1	644364	645643	-	714	1243	165	31	213	13	3	89	18	263	513
Ha1_00043035	Ha1_00043035	protein_coding	Ha1	690690	691337	-	648	4372	4913	848	3196	1444	30	4469	3818	2964	7383
Ha1_00043043	Ha1_00043043	protein_coding	Ha1	1017880	1035502	+	612	224	41	18	112	12	4	90	91	130	305
Ha1_00043045	Ha1_00043045	protein_coding	Ha1	1121395	1124406	-	1016	2776	504	146	1437	314	10	1229	574	1072	3614
Ha1_00043047	Ha1_00043047	protein_coding	Ha1	1164370	1167840	-	1677	3052	951	103	687	16	13	63	127	2464	448
Ha1_00043048	Ha1_00043048	protein_coding	Ha1	1206433	1216742	-	924	83	11	28	98	6	0	90	3	47	11
Ha1_00043051	Ha1_00043051	protein_coding	Ha1	1628834	1630130	+	794	12	4	0	8	0	3	34	4	27	16
Ha1_00043052	Ha1_00043052	protein_coding	Ha1	1866301	1868730	+	812	1	0	2	1	1	0	0	0	2	0
Ha1_00043055	Ha1_00043055	protein_coding	Ha1	2228327	2234536	+	2737	31	21	3	146	9	13	127	55	82	63
Ha1_00043056	Ha1_00043056	protein_coding	Ha1	2247755	2248749	+	504	5	0	0	5	0	0	2	0	6	2
Ha1_00043058	Ha1_00043058	protein_coding	Ha1	2422220	2423495	-	486	100	15	17	129	5	1	353	10	446	83
Ha1_00043059	Ha1_00043059	protein_coding	Ha1	2480399	2482705	+	270	1542	187	4	68	14	2	420	63	210	385
Ha1_00043060	Ha1_00043060	protein_coding	Ha1	2489180	2493152	+	1817	1224	290	2	649	39	1064	1607	1568	1072	2071
Ha1_00043061	Ha1_00043061	protein_coding	Ha1	2508135	2510347	+	1298	163	441	353	1123	569	14	2132	78	298	219
Ha1_00043062	Ha1_00043062	protein_coding	Ha1	2615530	2636012	-	378	3553	551	12	172	57	1	835	277	611	836
Ha1_00043065	Ha1_00043065	protein_coding	Ha1	2812160	2812705	+	471	258	27	33	164	5	0	87	7	198	58
Ha1_00043066	Ha1_00043066	protein_coding	Ha1	3000598	3003580	-	759	599	17	58	166	2	5	22	19	169	9
Ha1_00043067	Ha1_00043067	protein_coding	Ha1	3028627	3034182	+	1845	672	41	67	156	24	271	787	207	413	503
Ha1_00043069	Ha1_00043069	protein_coding	Ha1	3153932	3161513	+	1351	2153	461	157	1466	263	0	1725	407	6660	1073
Ha1_00043070	Ha1_00043070	protein_coding	Ha1	3162274	3165604	-	267	72	28	7	47	10	0	44	5	63	37
Ha1_00043071	Ha1_00043071	protein_coding	Ha1	3173286	3175457	-	1864	0	13	141	155	11	0	294	1	71	15
Ha1_00043072	Ha1_00043072	protein_coding	Ha1	3227289	3230889	+	1487	2132	149	421	1964	19	27	264	88	1048	266
Ha1_00043074	Ha1_00043074	protein_coding	Ha1	3431540	3436685	-	1116	494	161	183	1066	44	4	485	102	408	342
Ha1_00043077	Ha1_00043077	protein_coding	Ha1	3719931	3720344	-	306	8	0	8	20	0	0	6	3	15	6
Ha1_00043078	Ha1_00043078	protein_coding	Ha1	3765006	3768667	+	2203	1768	397	624	2879	75	20	1298	305	1473	1128
Ha1_00043079	Ha1_00043079	protein_coding	Ha1	3785711	3786070	-	360	285	24	25	179	6	0	158	13	186	138
Ha1_00043080	Ha1_00043080	protein_coding	Ha1	3787905	3793370	-	1082	1068	59	89	852	31	7	411	60	546	551
Ha1_00043081	Ha1_00043081	protein_coding	Ha1	3824704	3827966	+	927	1215	75	59	711	26	211	422	108	914	359
Ha1_00043082	Ha1_00043082	protein_coding	Ha1	3841854	3843695	+	696	6	0	8	2	0	1	0	0	1	0
Ha1_00043084	Ha1_00043084	protein_coding	Ha1	3924697	3929461	+	1404	294	15	194	1072	35	2	639	11	170	131
Ha1_00043085	Ha1_00043085	protein_coding	Ha1	3942436	3944613	+	900	268	9	107	30	0	0	0	0	3	3
Ha1_00043087	Ha1_00043087	protein_coding	Ha1	4060229	4062915	-	1312	0	1	30	40	3	0	7	0	33	14
Ha1_00043088	Ha1_00043088	protein_coding	Ha1	4067353	4067538	-	186	162	33	7	22	22	1	71	18	147	12
Ha1_00043089	Ha1_00043089	protein_coding	Ha1	4067850	4072163	-	342	217	12	5	20	11	0	65	6	103	23
Ha1_00043090	Ha1_00043090	protein_coding	Ha1	4159748	4161299	+	327	0	0	7	14	0	0	2	0	9	1
Ha1_00043091	Ha1_00043091	protein_coding	Ha1	4162652	4163044	+	302	2	1	10	19	0	1	10	0	32	9
Ha1_00043092	Ha1_00043092	protein_coding	Ha1	4177295	4179898	-	456	4167	285	569	2257	211	16	1926	125	1710	1557
Ha1_00043095	Ha1_00043095	protein_coding	Ha1	4374434	4376212	+	311	237	14	11	22	25	0	76	10	182	21
Ha1_00043096	Ha1_00043096	protein_coding	Ha1	4392880	4395894	+	1515	20	4	20	9	2	0	2	0	0	2
Ha1_00043098	Ha1_00043098	protein_coding	Ha1	4399848	4401315	-	612	5161	347	1131	3773	256	19	3015	147	2597	2422
Ha1_00043100	Ha1_00043100	protein_coding	Ha1	4403702	4417602	-	1377	212	25	205	273	0	10	18	18	297	35
Ha1_00043102	Ha1_00043102	protein_coding	Ha1	4489561	4489827	+	267	3	8	50	46	8	1	1991	43	6	20
Ha1_00043103	Ha1_00043103	protein_coding	Ha1	4543576	4545090	+	1515	106	12	3	75	1	3	85	30	79	107
Ha1_00043104	Ha1_00043104	protein_coding	Ha1	4571246	4571639	-	354	8	1	7	111	0	0	117	5	155	10
Ha1_00043105	Ha1_00043105	protein_coding	Ha1	4576357	4576652	-	162	2	0	0	22	0	0	30	1	60	0
Ha1_00043106	Ha1_00043106	protein_coding	Ha1	4589592	4590589	-	456	4	4	2	7	0	33	11	3	14	3
Ha1_00043108	Ha1_00043108	protein_coding	Ha1	4635716	4636007	-	180	6	3	2	6	0	0	11	0	2	6
Ha1_00043110	Ha1_00043110	protein_coding	Ha1	4665546	4667061	-	637	28	5	42	68	3	1	1722	39	27	20
Ha1_00043111	Ha1_00043111	protein_coding	Ha1	4715275	4715883	+	315	1050	995	62	307	393	22	557	561	361	1027
Ha1_00043112	Ha1_00043112	protein_coding	Ha1	4825063	4826335	+	555	6	7	1	3	0	0	5	0	8	9
Ha1_00043113	Ha1_00043113	protein_coding	Ha1	4842107	4845900	-	738	118	1	27	50	3	2	33	7	109	24
Ha1_00043114	Ha1_00043114	protein_coding	Ha1	4867532	4870408	+	2877	0	3	69	29	1	8	63	0	0	442
Ha1_00043115	Ha1_00043115	protein_coding	Ha1	4870656	4871424	+	693	0	2	23	14	0	1	15	0	0	133
Ha1_00043117	Ha1_00043117	protein_coding	Ha1	5037516	5045400	+	2829	205	40	27	78	66	9	16050	12	27	55
Ha1_00043118	Ha1_00043118	protein_coding	Ha1	5208391	5211582	+	1230	904	50	164	1021	17	22	498	51	938	214
Ha1_00043119	Ha1_00043119	protein_coding	Ha1	5226248	5227339	-	483	9	3	4	28	0	0	1	0	14	2
Ha1_00043120	Ha1_00043120	protein_coding	Ha1	5312281	5317749	+	735	9	5	33	36	3	0	14	2	43	0
Ha1_00043121	Ha1_00043121	protein_coding	Ha1	5323931	5330454	+	1508	81	85	61	120	7	11	48	30	326	79
Ha1_00043122	Ha1_00043122	protein_coding	Ha1	5364077	5368718	-	2145	1211	623	228	1115	38	4	192	152	425	433
Ha1_00043123	Ha1_00043123	protein_coding	Ha1	5456763	5461697	-	684	16	16	15	42	4	3	18	6	109	43
Ha1_00043124	Ha1_00043124	protein_coding	Ha1	5497339	5497891	-	498	6	3	2	31	0	0	0	0	26	11
Ha1_00043125	Ha1_00043125	protein_coding	Ha1	5505121	5510954	-	1162	3	52	0	768	2	7	18	384	9	1150
Ha1_00043126	Ha1_00043126	protein_coding	Ha1	5528471	5530449	+	596	11020	5029	1734	4076	2424	28	8782	1397	3891	8805
Ha1_00043127	Ha1_00043127	protein_coding	Ha1	5716771	5720233	-	515	495	98	128	987	44	111	513	1125	637	431
Ha1_00043128	Ha1_00043128	protein_coding	Ha1	5743425	5745823	+	1653	5	0	3	1	0	0	2	0	4	0
Ha1_00043129	Ha1_00043129	protein_coding	Ha1	5831394	5839534	-	3499	14641	1256	494	1234	71	1	378	70	2167	9017
Ha1_00043131	Ha1_00043131	protein_coding	Ha1	5995894	6001158	+	4443	56	1	1	6	0	0	1	0	14	36
Ha1_00043138	Ha1_00043138	protein_coding	Ha1	6626989	6627442	-	335	258	22	26	276	3	61	117	10	170	67
