gene	gene_name	gene_type	chr	start	end	strand	length	Bract	Corolla	Leaves	Ligule	Ovary	Pollen	Seed	Stamen	Stem	Style
Ha1_00043026	Ha1_00043026	protein_coding	Ha1	140141	141848	+	879	406.496	247.224	106.646	60.531	238.488	0.738	16.392	5.985	55.671	174.846
Ha1_00043027	Ha1_00043027	protein_coding	Ha1	143273	145476	-	547	15.72	0.851	240.938	2.808	7.265	0	5.126	0	0.092	8.872
Ha1_00043029	Ha1_00043029	protein_coding	Ha1	470935	474705	+	3681	1.563	4.58	7.968	7.136	5.938	0.007	9.856	1.642	2.648	2.927
Ha1_00043030	Ha1_00043030	protein_coding	Ha1	485813	488169	-	763	38.195	4.883	55.066	50.581	2.17	0.102	4.862	5.722	24.298	2.654
Ha1_00043032	Ha1_00043032	protein_coding	Ha1	521041	522819	+	510	0.613	0.548	1.166	1.176	0	1.731	1.438	1.317	1.675	0.674
Ha1_00043033	Ha1_00043033	protein_coding	Ha1	535046	542208	+	654	0.478	0.427	1.212	3.724	1.013	0	5.805	0.171	7.989	0.351
Ha1_00043034	Ha1_00043034	protein_coding	Ha1	644364	645643	-	714	54.436	21.525	8.605	11.178	6.03	0.109	5.377	2.822	18.506	27.455
Ha1_00043035	Ha1_00043035	protein_coding	Ha1	690690	691337	-	648	210.969	706.213	259.353	184.802	737.977	1.202	297.512	659.531	229.807	435.372
Ha1_00043043	Ha1_00043043	protein_coding	Ha1	1017880	1035502	+	612	11.445	6.24	5.829	6.857	6.494	0.17	6.344	16.644	10.672	19.044
Ha1_00043045	Ha1_00043045	protein_coding	Ha1	1121395	1124406	-	1016	85.436	46.206	28.479	52.995	102.35	0.256	52.183	63.24	53.01	135.924
Ha1_00043047	Ha1_00043047	protein_coding	Ha1	1164370	1167840	-	1677	56.907	52.822	12.172	15.35	3.16	0.201	1.621	8.477	73.819	10.208
Ha1_00043048	Ha1_00043048	protein_coding	Ha1	1206433	1216742	-	924	2.809	1.109	6.006	3.974	2.15	0	4.202	0.363	2.556	0.455
Ha1_00043051	Ha1_00043051	protein_coding	Ha1	1628834	1630130	+	794	0.473	0.469	0	0.378	0	0.098	1.847	0.564	1.708	0.77
Ha1_00043052	Ha1_00043052	protein_coding	Ha1	1866301	1868730	+	812	0.039	0	0.488	0.046	0.408	0	0	0	0.124	0
Ha1_00043055	Ha1_00043055	protein_coding	Ha1	2228327	2234536	+	2737	0.354	0.715	0.217	1.999	1.089	0.123	2.002	2.249	1.505	0.88
Ha1_00043056	Ha1_00043056	protein_coding	Ha1	2247755	2248749	+	504	0.31	0	0	0.372	0	0	0.171	0	0.598	0.152
Ha1_00043058	Ha1_00043058	protein_coding	Ha1	2422220	2423495	-	486	6.434	2.875	6.932	9.946	3.407	0.053	31.333	2.303	46.106	6.526
Ha1_00043059	Ha1_00043059	protein_coding	Ha1	2480399	2482705	+	270	178.58	64.512	2.936	9.437	17.172	0.192	67.105	26.119	39.077	54.488
Ha1_00043060	Ha1_00043060	protein_coding	Ha1	2489180	2493152	+	1817	21.064	14.866	0.218	13.383	7.108	15.203	38.153	96.597	29.641	43.554
Ha1_00043061	Ha1_00043061	protein_coding	Ha1	2508135	2510347	+	1298	3.927	31.647	53.898	32.418	145.174	0.28	70.857	6.727	11.535	6.447
Ha1_00043062	Ha1_00043062	protein_coding	Ha1	2615530	2636012	-	378	293.912	135.776	6.292	17.05	49.938	0.069	95.294	82.028	81.21	84.512
Ha1_00043065	Ha1_00043065	protein_coding	Ha1	2812160	2812705	+	471	17.128	5.34	13.886	13.047	3.516	0	7.968	1.664	21.121	4.706
Ha1_00043066	Ha1_00043066	protein_coding	Ha1	3000598	3003580	-	759	24.677	2.086	15.145	8.195	0.873	0.171	1.25	2.802	11.187	0.453
Ha1_00043067	Ha1_00043067	protein_coding	Ha1	3028627	3034182	+	1845	11.389	2.07	7.197	3.168	4.308	3.813	18.401	12.559	11.246	10.418
Ha1_00043069	Ha1_00043069	protein_coding	Ha1	3153932	3161513	+	1351	49.831	31.784	23.031	40.659	64.469	0	55.081	33.722	247.673	30.349
Ha1_00043070	Ha1_00043070	protein_coding	Ha1	3162274	3165604	-	267	8.432	9.768	5.196	6.596	12.403	0	7.109	2.096	11.855	5.295
Ha1_00043071	Ha1_00043071	protein_coding	Ha1	3173286	3175457	-	1864	0	0.65	14.991	3.116	1.954	0	6.804	0.06	1.914	0.308
Ha1_00043072	Ha1_00043072	protein_coding	Ha1	3227289	3230889	+	1487	44.832	9.333	56.11	49.489	4.231	0.471	7.659	6.624	35.409	6.836
Ha1_00043074	Ha1_00043074	protein_coding	Ha1	3431540	3436685	-	1116	13.841	13.438	32.498	35.791	13.057	0.093	18.748	10.231	18.368	11.71
Ha1_00043077	Ha1_00043077	protein_coding	Ha1	3719931	3720344	-	306	0.817	0	5.181	2.449	0	0	0.846	1.097	2.463	0.749
Ha1_00043078	Ha1_00043078	protein_coding	Ha1	3765006	3768667	+	2203	25.095	16.786	56.136	48.967	11.275	0.236	25.417	15.497	33.593	19.566
Ha1_00043079	Ha1_00043079	protein_coding	Ha1	3785711	3786070	-	360	24.755	6.21	13.763	18.631	5.519	0	18.933	4.042	25.958	14.648
Ha1_00043080	Ha1_00043080	protein_coding	Ha1	3787905	3793370	-	1082	30.864	5.079	16.302	29.504	9.488	0.168	16.386	6.207	25.353	19.459
Ha1_00043081	Ha1_00043081	protein_coding	Ha1	3824704	3827966	+	927	40.984	7.536	12.614	28.739	9.288	5.909	19.638	13.041	49.537	14.798
Ha1_00043082	Ha1_00043082	protein_coding	Ha1	3841854	3843695	+	696	0.27	0	2.278	0.108	0	0.037	0	0	0.072	0
